Reference,Description,Price A,Category,Codigo de Barra,Rubro,Sub Rubro,Cant x Bulto,Stock,Comprado,Pendiente,Disponible,Temporada,Marca,Características,Observaciones,Price F,Tipo
G040078X,POLO PAPA WITH DESIGN - BLUE,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040079,POLO WITH DESIGN - CORAL,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040079X,POLO PAPA WITH DESIGN - CORAL,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040080,POLO WITH DESIGN - GREEN,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040080X,POLO PAPA WITH DESIGN - GREEN,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040081,POLO WITH DESIGN - MINT,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040081X,POLO PAPA WITH DESIGN - MINT,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040082,POLO WITH DESIGN - NAVY,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040082X,POLO PAPA WITH DESIGN - NAVY,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040083,POLO WITH DESIGN - GRAY,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040083X,POLO PAPA WITH DESIGN - GRAY,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040084X,PAPA SIZE - POLO  - RED,9.12,,,PAPA SIZE,POLO BASICO,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040085X,PAPA SIZE - POLO  - NAVY,9.12,,,PAPA SIZE,POLO BASICO,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040086X,PAPA SIZE - POLO  - WHITE,9.12,,,PAPA SIZE,POLO BASICO,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040087X,PAPA SIZE - POLO  - NAVY,9.12,,,PAPA SIZE,POLO BASICO,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040088X,PAPA SIZE - POLO  - RED,9.12,,,PAPA SIZE,POLO BASICO,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040089X,PAPA SIZE - POLO  - OLIVE,9.12,,,PAPA SIZE,POLO BASICO,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040090X,PAPA SIZE - POLO  - WHITE,9.12,,,PAPA SIZE,POLO BASICO,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040091X,PAPA SIZE - POLO  - NAVY,9.12,,,PAPA SIZE,POLO BASICO,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G060001,SHORTS CHINO (GENTS) - NAVY,8.75,,_601202186747,HOMBRES,SHORTS,48,65,0,0,65,MODA,GENTS,S,,0,REGULAR
G060002,SHORTS CHINO (GENTS) - GREY,8.75,,_601202187164,HOMBRES,SHORTS,48,292,0,0,292,MODA,GENTS,S,,0,REGULAR
G060003,SHORTS CHINO (GENTS) - LT GREEN,8.75,,_601202182756,HOMBRES,SHORTS,48,98,0,0,98,MODA,GENTS,S,,0,REGULAR
G060004,SHORTS CHINO (GENTS)- KHAKI,8.75,,_601202177585,HOMBRES,SHORTS,48,281,0,0,281,MODA,GENTS,S,,0,REGULAR
G060005,CHINO SHORT  - NAVY,9.15,,_601202175291,HOMBRES,SHORTS,24,383,0,0,383,,GENTS,30-40 (1-2-3-3-2-1),,0,REGULAR
G060005X,CHINO SHORT PAPA  - NAVY,11.05,,_601202175970,PAPA SIZE,SHORTS,24,383,0,0,383,,GENTS,40-44 (4-4-4),,0,REGULAR
G060006,CHINO SHORT -  KHAKI,9.15,,_601202175703,HOMBRES,SHORTS,24,381,0,0,381,,GENTS,30-40 (1-2-3-3-2-1),,0,REGULAR
G060006X,CHINO SHORT PAPA -  KHAKI,11.05,,_601202176380,PAPA SIZE,SHORTS,24,381,0,0,381,,GENTS,40-44 (4-4-4),,0,REGULAR
G060007,CHINO SHORT -  OLIVE,9.15,,_601202176113,HOMBRES,SHORTS,24,382,0,0,382,,GENTS,30-40 (1-2-3-3-2-1),,0,REGULAR
G060007X,CHINO SHORT PAPA -  OLIVE,11.05,,_601202176793,PAPA SIZE,SHORTS,24,383,0,0,383,,GENTS,40-44 (4-4-4),,0,REGULAR
G060008,CHINO SHORT -  CORAL,9.15,,_601202176526,HOMBRES,SHORTS,24,383,0,0,383,,GENTS,30-40 (1-2-3-3-2-1),,0,REGULAR
G080001,JEANS BASICO - REGULAR - MID BLUE,8,,,HOMBRES,JEANS BASICO,24,0,288,0,288,,GENTS,Size:30-32-34-3-38    Ratio:1-2-4-3-2,,0,REGULAR
G080002,JEANS BASICO - REGULAR - DK BLUE,8,,,HOMBRES,JEANS BASICO,24,0,288,0,288,,GENTS,Size:30-32-34-3-38    Ratio:1-2-4-3-2,,0,REGULAR
G080003,JEANS BASICO - REGULAR - BLACK,8,,,HOMBRES,JEANS BASICO,24,0,288,0,288,,GENTS,Size:30-32-34-3-38    Ratio:1-2-4-3-2,,0,REGULAR
G080004,JEANS BASICO - REGULAR - ROYAL,8,,,HOMBRES,JEANS BASICO,24,0,288,0,288,,GENTS,Size:30-32-34-3-38    Ratio:1-2-4-3-2,,0,REGULAR
G080005,JEANS BASICO - SLIM - MID BLUE,8,,,HOMBRES,JEANS BASICO,24,0,288,0,288,,GENTS,Size:30-32-34-3-38    Ratio:1-2-4-3-2,,0,REGULAR
G080006,JEANS BASICO - SLIM - DK BLUE,8,,,HOMBRES,JEANS BASICO,24,0,288,0,288,,GENTS,Size:30-32-34-3-38    Ratio:1-2-4-3-2,,0,REGULAR
G080007,JEANS BASICO - SLIM - BLACK,8,,,HOMBRES,JEANS BASICO,24,0,288,0,288,,GENTS,Size:30-32-34-3-38    Ratio:1-2-4-3-2,,0,REGULAR
G080008,JEANS BASICO - SLIM - ROYAL,8,,,HOMBRES,JEANS BASICO,24,0,288,0,288,,GENTS,Size:30-32-34-3-38    Ratio:1-2-4-3-2,,0,REGULAR
G090001,CHINO PANTS-KAHKI,9.75,,,HOMBRES,PANTALON,24,0,288,0,288,,OLIVER KENT,TALLA 30-40,,0,
